"Notes"	"State"	"State Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"1999"	"1999"	1079	1121288	96.2
	"Alabama"	"01"	"2000"	"2000"	970	1123422	86.3
	"Alabama"	"01"	"2001"	"2001"	965	1120409	86.1
	"Alabama"	"01"	"2002"	"2002"	955	1116590	85.5
	"Alabama"	"01"	"2003"	"2003"	873	1113083	78.4
	"Alabama"	"01"	"2004"	"2004"	903	1113662	81.1
	"Alabama"	"01"	"2005"	"2005"	915	1117229	81.9
	"Alabama"	"01"	"2006"	"2006"	952	1126798	84.5
	"Alabama"	"01"	"2007"	"2007"	970	1132296	85.7
	"Alabama"	"01"	"2008"	"2008"	948	1134927	83.5
	"Alabama"	"01"	"2009"	"2009"	835	1134192	73.6
	"Alabama"	"01"	"2010"	"2010"	838	1132459	74.0
	"Alabama"	"01"	"2011"	"2011"	810	1127143	71.9
	"Alabama"	"01"	"2012"	"2012"	829	1124406	73.7
	"Alabama"	"01"	"2013"	"2013"	795	1111481	71.5
	"Alabama"	"01"	"2014"	"2014"	814	1107571	73.5
	"Alabama"	"01"	"2015"	"2015"	784	1103496	71.0
	"Alabama"	"01"	"2016"	"2016"	824	1096823	75.1
	"Alaska"	"02"	"1999"	"1999"	119	191424	62.2
	"Alaska"	"02"	"2000"	"2000"	154	190717	80.7
	"Alaska"	"02"	"2001"	"2001"	159	188771	84.2
	"Alaska"	"02"	"2002"	"2002"	120	188482	63.7
	"Alaska"	"02"	"2003"	"2003"	154	186843	82.4
	"Alaska"	"02"	"2004"	"2004"	144	186335	77.3
	"Alaska"	"02"	"2005"	"2005"	122	185304	65.8
	"Alaska"	"02"	"2006"	"2006"	150	185580	80.8
	"Alaska"	"02"	"2007"	"2007"	139	184344	75.4
	"Alaska"	"02"	"2008"	"2008"	134	183124	73.2
	"Alaska"	"02"	"2009"	"2009"	126	186351	67.6
	"Alaska"	"02"	"2010"	"2010"	103	187378	55.0
	"Alaska"	"02"	"2011"	"2011"	92	188441	48.8
	"Alaska"	"02"	"2012"	"2012"	92	187100	49.2
	"Alaska"	"02"	"2013"	"2013"	120	188132	63.8
	"Alaska"	"02"	"2014"	"2014"	115	186543	61.6
	"Alaska"	"02"	"2015"	"2015"	133	186266	71.4
	"Alaska"	"02"	"2016"	"2016"	124	187327	66.2
	"Arizona"	"04"	"1999"	"1999"	922	1332396	69.2
	"Arizona"	"04"	"2000"	"2000"	981	1366947	71.8
	"Arizona"	"04"	"2001"	"2001"	1059	1399015	75.7
	"Arizona"	"04"	"2002"	"2002"	998	1427938	69.9
	"Arizona"	"04"	"2003"	"2003"	1025	1453671	70.5
	"Arizona"	"04"	"2004"	"2004"	1040	1484454	70.1
	"Arizona"	"04"	"2005"	"2005"	1121	1529168	73.3
	"Arizona"	"04"	"2006"	"2006"	1128	1574867	71.6
	"Arizona"	"04"	"2007"	"2007"	1135	1607895	70.6
	"Arizona"	"04"	"2008"	"2008"	1034	1628651	63.5
