"Notes"	"State"	"State Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"1999"	"1999"	863	800384	107.8
	"Alabama"	"01"	"2000"	"2000"	779	804471	96.8
	"Alabama"	"01"	"2001"	"2001"	775	801198	96.7
	"Alabama"	"01"	"2002"	"2002"	745	796025	93.6
	"Alabama"	"01"	"2003"	"2003"	714	789023	90.5
	"Alabama"	"01"	"2004"	"2004"	704	785833	89.6
	"Alabama"	"01"	"2005"	"2005"	738	786294	93.9
	"Alabama"	"01"	"2006"	"2006"	762	791621	96.3
	"Alabama"	"01"	"2007"	"2007"	812	796353	102.0
	"Alabama"	"01"	"2008"	"2008"	790	802113	98.5
	"Alabama"	"01"	"2009"	"2009"	702	804507	87.3
	"Alabama"	"01"	"2010"	"2010"	705	806066	87.5
	"Alabama"	"01"	"2011"	"2011"	677	802972	84.3
	"Alabama"	"01"	"2012"	"2012"	697	804072	86.7
	"Alabama"	"01"	"2013"	"2013"	670	791407	84.7
	"Alabama"	"01"	"2014"	"2014"	685	785774	87.2
	"Alabama"	"01"	"2015"	"2015"	655	782811	83.7
	"Alabama"	"01"	"2016"	"2016"	685	779944	87.8
	"Alaska"	"02"	"1999"	"1999"	91	136639	66.6
	"Alaska"	"02"	"2000"	"2000"	107	135520	79.0
	"Alaska"	"02"	"2001"	"2001"	114	133127	85.6
	"Alaska"	"02"	"2002"	"2002"	85	132241	64.3
	"Alaska"	"02"	"2003"	"2003"	109	130129	83.8
	"Alaska"	"02"	"2004"	"2004"	111	128997	86.0
	"Alaska"	"02"	"2005"	"2005"	87	128120	67.9
	"Alaska"	"02"	"2006"	"2006"	107	128643	83.2
	"Alaska"	"02"	"2007"	"2007"	105	128702	81.6
	"Alaska"	"02"	"2008"	"2008"	99	129420	76.5
	"Alaska"	"02"	"2009"	"2009"	104	133388	78.0
	"Alaska"	"02"	"2010"	"2010"	74	135406	54.7
	"Alaska"	"02"	"2011"	"2011"	73	137142	53.2
	"Alaska"	"02"	"2012"	"2012"	78	136816	57.0
	"Alaska"	"02"	"2013"	"2013"	101	137395	73.5
	"Alaska"	"02"	"2014"	"2014"	102	136370	74.8
	"Alaska"	"02"	"2015"	"2015"	116	136918	84.7
	"Alaska"	"02"	"2016"	"2016"	92	137473	66.9
	"Arizona"	"04"	"1999"	"1999"	752	977220	77.0
	"Arizona"	"04"	"2000"	"2000"	806	1003040	80.4
	"Arizona"	"04"	"2001"	"2001"	871	1023003	85.1
	"Arizona"	"04"	"2002"	"2002"	778	1039981	74.8
	"Arizona"	"04"	"2003"	"2003"	833	1052633	79.1
	"Arizona"	"04"	"2004"	"2004"	841	1071597	78.5
	"Arizona"	"04"	"2005"	"2005"	915	1102827	83.0
	"Arizona"	"04"	"2006"	"2006"	892	1135677	78.5
	"Arizona"	"04"	"2007"	"2007"	938	1161353	80.8
	"Arizona"	"04"	"2008"	"2008"	862	1179732	73.1
	"Arizona"	"04"	"2009"	"2009"	782	1178506	66.4
	"Arizona"	"04"	"2010"	"2010"	743	1180034	63.0
	"Arizona"	"04"	"2011"	"2011"	701	1176821	59.6
	"Arizona"	"04"	"2012"	"2012"	715	1171439	61.0
	"Arizona"	"04"	"2013"	"2013"	663	1164175	57.0
	"Arizona"	"04"	"2014"	"2014"	729	1163998	62.6
	"Arizona"	"04"	"2015"	"2015"	648	1164259	55.7
	"Arizona"	"04"	"2016"	"2016"	659	1170322	56.3
	"Arkansas"	"05"	"1999"	"1999"	420	484407	86.7
	"Arkansas"	"05"	"2000"	"2000"	460	484821	94.9
	"Arkansas"	"05"	"2001"	"2001"	444	484150	91.7
	"Arkansas"	"05"	"2002"	"2002"	436	483698	90.1
	"Arkansas"	"05"	"2003"	"2003"	448	483198	92.7
	"Arkansas"	"05"	"2004"	"2004"	468	485203	96.5
	"Arkansas"	"05"	"2005"	"2005"	432	490015	88.2
	"Arkansas"	"05"	"2006"	"2006"	473	496688	95.2
	"Arkansas"	"05"	"2007"	"2007"	445	502558	88.5
	"Arkansas"	"05"	"2008"	"2008"	417	507564	82.2
	"Arkansas"	"05"	"2009"	"2009"	425	511295	83.1
	"Arkansas"	"05"	"2010"	"2010"	395	513892	76.9
	"Arkansas"	"05"	"2011"	"2011"	385	513933	74.9
	"Arkansas"	"05"	"2012"	"2012"	410	513753	79.8
	"Arkansas"	"05"	"2013"	"2013"	399	511035	78.1
	"Arkansas"	"05"	"2014"	"2014"	391	507703	77.0
	"Arkansas"	"05"	"2015"	"2015"	391	506707	77.2
