"Notes"	"State"	"State Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"1999"	"1999"	216	320904	67.3
	"Alabama"	"01"	"2000"	"2000"	191	318951	59.9
	"Alabama"	"01"	"2001"	"2001"	190	319211	59.5
	"Alabama"	"01"	"2002"	"2002"	210	320565	65.5
	"Alabama"	"01"	"2003"	"2003"	159	324060	49.1
	"Alabama"	"01"	"2004"	"2004"	199	327829	60.7
	"Alabama"	"01"	"2005"	"2005"	177	330935	53.5
	"Alabama"	"01"	"2006"	"2006"	190	335177	56.7
	"Alabama"	"01"	"2007"	"2007"	158	335943	47.0
	"Alabama"	"01"	"2008"	"2008"	158	332814	47.5
	"Alabama"	"01"	"2009"	"2009"	133	329685	40.3
	"Alabama"	"01"	"2010"	"2010"	133	326393	40.7
	"Alabama"	"01"	"2011"	"2011"	133	324171	41.0
	"Alabama"	"01"	"2012"	"2012"	132	320334	41.2
	"Alabama"	"01"	"2013"	"2013"	125	320074	39.1
	"Alabama"	"01"	"2014"	"2014"	129	321797	40.1
	"Alabama"	"01"	"2015"	"2015"	129	320685	40.2
	"Alabama"	"01"	"2016"	"2016"	139	316879	43.9
	"Alaska"	"02"	"1999"	"1999"	28	54785	51.1
	"Alaska"	"02"	"2000"	"2000"	47	55197	85.1
	"Alaska"	"02"	"2001"	"2001"	45	55644	80.9
	"Alaska"	"02"	"2002"	"2002"	35	56241	62.2
	"Alaska"	"02"	"2003"	"2003"	45	56714	79.3
	"Alaska"	"02"	"2004"	"2004"	33	57338	57.6
	"Alaska"	"02"	"2005"	"2005"	35	57184	61.2
	"Alaska"	"02"	"2006"	"2006"	43	56937	75.5
	"Alaska"	"02"	"2007"	"2007"	34	55642	61.1
	"Alaska"	"02"	"2008"	"2008"	35	53704	65.2
	"Alaska"	"02"	"2009"	"2009"	22	52963	41.5
	"Alaska"	"02"	"2010"	"2010"	29	51972	55.8
	"Alaska"	"02"	"2011"	"2011"	19	51299	Unreliable
	"Alaska"	"02"	"2012"	"2012"	14	50284	Unreliable
	"Alaska"	"02"	"2013"	"2013"	19	50737	Unreliable
	"Alaska"	"02"	"2014"	"2014"	13	50173	Unreliable
	"Alaska"	"02"	"2015"	"2015"	17	49348	Unreliable
	"Alaska"	"02"	"2016"	"2016"	32	49854	64.2
	"Arizona"	"04"	"1999"	"1999"	170	355176	47.9
	"Arizona"	"04"	"2000"	"2000"	175	363907	48.1
	"Arizona"	"04"	"2001"	"2001"	188	376012	50.0
	"Arizona"	"04"	"2002"	"2002"	220	387957	56.7
	"Arizona"	"04"	"2003"	"2003"	192	401038	47.9
	"Arizona"	"04"	"2004"	"2004"	199	412857	48.2
	"Arizona"	"04"	"2005"	"2005"	206	426341	48.3
	"Arizona"	"04"	"2006"	"2006"	236	439190	53.7
	"Arizona"	"04"	"2007"	"2007"	197	446542	44.1
	"Arizona"	"04"	"2008"	"2008"	172	448919	38.3
	"Arizona"	"04"	"2009"	"2009"	168	448837	37.4
	"Arizona"	"04"	"2010"	"2010"	118	448980	26.3
	"Arizona"	"04"	"2011"	"2011"	134	448293	29.9
	"Arizona"	"04"	"2012"	"2012"	132	449455	29.4
	"Arizona"	"04"	"2013"	"2013"	144	452639	31.8
	"Arizona"	"04"	"2014"	"2014"	119	457694	26.0
	"Arizona"	"04"	"2015"	"2015"	126	458591	27.5
	"Arizona"	"04"	"2016"	"2016"	131	461170	28.4
	"Arkansas"	"05"	"1999"	"1999"	131	197533	66.3
	"Arkansas"	"05"	"2000"	"2000"	127	195548	64.9
	"Arkansas"	"05"	"2001"	"2001"	115	195456	58.8
	"Arkansas"	"05"	"2002"	"2002"	135	195100	69.2
	"Arkansas"	"05"	"2003"	"2003"	91	196381	46.3
	"Arkansas"	"05"	"2004"	"2004"	121	197963	61.1
	"Arkansas"	"05"	"2005"	"2005"	113	199772	56.6
	"Arkansas"	"05"	"2006"	"2006"	102	201154	50.7
	"Arkansas"	"05"	"2007"	"2007"	104	200179	52.0
	"Arkansas"	"05"	"2008"	"2008"	103	198161	52.0
	"Arkansas"	"05"	"2009"	"2009"	80	196591	40.7
	"Arkansas"	"05"	"2010"	"2010"	78	197583	39.5
	"Arkansas"	"05"	"2011"	"2011"	80	196541	40.7
	"Arkansas"	"05"	"2012"	"2012"	81	197128	41.1
	"Arkansas"	"05"	"2013"	"2013"	80	198831	40.2
	"Arkansas"	"05"	"2014"	"2014"	75	199316	37.6
	"Arkansas"	"05"	"2015"	"2015"	76	198593	38.3
	"Arkansas"	"05"	"2016"	"2016"	76	198844	38.2
	"California"	"06"	"1999"	"1999"	848	2425667	35.0
	"California"	"06"	"2000"	"2000"	829	2455306	33.8
	"California"	"06"	"2001"	"2001"	864	2515073	34.4
	"California"	"06"	"2002"	"2002"	865	2578375	33.5
	"California"	"06"	"2003"	"2003"	895	2655876	33.7
	"California"	"06"	"2004"	"2004"	912	2724206	33.5
	"California"	"06"	"2005"	"2005"	957	2777440	34.5
	"California"	"06"	"2006"	"2006"	940	2799634	33.6
	"California"	"06"	"2007"	"2007"	855	2801406	30.5
	"California"	"06"	"2008"	"2008"	750	2781401	27.0
	"California"	"06"	"2009"	"2009"	717	2751918	26.1
	"California"	"06"	"2010"	"2010"	613	2725255	22.5
	"California"	"06"	"2011"	"2011"	606	2680786	22.6
	"California"	"06"	"2012"	"2012"	539	2638434	20.4
	"California"	"06"	"2013"	"2013"	558	2601895	21.4
	"California"	"06"	"2014"	"2014"	553	2582103	21.4
	"California"	"06"	"2015"	"2015"	591	2554775	23.1
	"California"	"06"	"2016"	"2016"	601	2540316	23.7
	"Colorado"	"08"	"1999"	"1999"	151	303491	49.8
	"Colorado"	"08"	"2000"	"2000"	124	307216	40.4
	"Colorado"	"08"	"2001"	"2001"	134	315573	42.5
	"Colorado"	"08"	"2002"	"2002"	131	320289	40.9
	"Colorado"	"08"	"2003"	"2003"	149	324745	45.9
	"Colorado"	"08"	"2004"	"2004"	149	326214	45.7
	"Colorado"	"08"	"2005"	"2005"	119	329370	36.1
	"Colorado"	"08"	"2006"	"2006"	118	331981	35.5
	"Colorado"	"08"	"2007"	"2007"	103	333543	30.9
	"Colorado"	"08"	"2008"	"2008"	106	332515	31.9
	"Colorado"	"08"	"2009"	"2009"	115	332557	34.6
	"Colorado"	"08"	"2010"	"2010"	94	331422	28.4
	"Colorado"	"08"	"2011"	"2011"	97	330627	29.3
	"Colorado"	"08"	"2012"	"2012"	96	331505	29.0
	"Colorado"	"08"	"2013"	"2013"	109	336958	32.3
	"Colorado"	"08"	"2014"	"2014"	106	343662	30.8
	"Colorado"	"08"	"2015"	"2015"	127	349230	36.4
	"Colorado"	"08"	"2016"	"2016"	122	352926	34.6
	"Connecticut"	"09"	"1999"	"1999"	61	221659	27.5
	"Connecticut"	"09"	"2000"	"2000"	66	225796	29.2
	"Connecticut"	"09"	"2001"	"2001"	71	232786	30.5
	"Connecticut"	"09"	"2002"	"2002"	68	239762	28.4
	"Connecticut"	"09"	"2003"	"2003"	59	247623	23.8
	"Connecticut"	"09"	"2004"	"2004"	64	252084	25.4
	"Connecticut"	"09"	"2005"	"2005"	68	255126	26.7
