Date,State,City_County,Address,Killed,Injured,Operations
1/1/2018,Alabama,Bessemer (Concord),6400 block of William Drive,1,0,N/A
12/28/2017,Alabama,Brierfield,12772 Montevallo Rd,1,0,N/A
12/22/2017,Maryland,Aquasco,15500 block of Saint Phillips Rd,1,0,N/A
12/10/2017,Utah,Roosevelt (Ballard),N/A,1,0,N/A
12/6/2017,Michigan,Detroit,11000 block of Rossiter,1,0,N/A
12/5/2017,Alaska,Anchorage,5700 block of Rocky Mountain Ct,1,0,N/A
11/18/2017,Texas,Concepcion,9000 block of CR 245,1,0,N/A
11/10/2017,Tennessee,Memphis,3527 S Mendenhall Rd,1,0,N/A
11/9/2017,Pennsylvania,Philadelphia,200 block of W Godfrey,1,0,N/A
11/2/2017,Louisiana,Arnaudville,1000 block of Kennedy Drive,1,0,N/A
10/17/2017,South Carolina,Warrenville,Beckham Rd,1,0,N/A
10/8/2017,North Carolina,Elizabeth City,S Desert Rd,1,0,N/A
10/6/2017,Arkansas,Helena,300 block of Dinan St,1,0,N/A
10/3/2017,Florida,Orlando,222 Neighborhood Market Rd,1,0,N/A
10/2/2017,Mississippi,Falkner,N/A,1,0,N/A
10/1/2017,Georgia,Augusta,2300 Block of Barton Chapel Rd,1,0,N/A
10/1/2017,South Carolina,Bowman,N/A,1,0,N/A
9/30/2017,Texas,Cleveland (Plum Grove),CR 3560,1,0,N/A
9/28/2017,Texas,Tornillo,19000 block of Highland,1,0,N/A
9/28/2017,Ohio,Cleveland (Parma),6600 block of Brownfield Dr,1,0,N/A
9/23/2017,Missouri,Saint Louis,5400 block of Arlington Ave,1,0,N/A
9/23/2017,Missouri,Salem,CR 621,1,0,N/A
9/22/2017,Kansas,Lawrence,606 N Michigan St,1,0,N/A
9/15/2017,South Carolina,Hartsville,Folly Rd,1,0,N/A
9/14/2017,Florida,Tampa,N/A,1,0,N/A
9/10/2017,Ohio,Madison,3800 block of Wade Rd,1,0,N/A
9/6/2017,South Carolina,Columbia,2400 block of Truax Ln,2,0,N/A
9/3/2017,Mississippi,Horn Lake,Carroll Cove West,1,0,N/A
9/2/2017,Texas,Haltom City,3500 block of Parker Rd E,1,0,N/A
8/30/2017,Mississippi,Cleveland,1700 block of South Chrisman Avenue,1,0,N/A
8/28/2017,Maine,Scarborough,17 Milliken St,1,0,N/A
8/28/2017,Texas,Scurry,9500 block of Timber Trail,1,0,N/A
8/21/2017,New York,Syracuse,107 Hartson St,1,0,N/A
8/20/2017,Missouri,Saint Joseph,2600 Mary St,1,0,N/A
8/20/2017,Tennessee,Memphis,1000 block of Parkland Road,1,0,N/A
8/19/2017,Tennessee,Memphis,1400 block of Hickory Way,1,0,N/A
8/16/2017,Alaska,Togiak,N/A,1,0,N/A
8/9/2017,Pennsylvania,West Mifflin,108 Dover Ln,1,0,N/A
8/8/2017,Wisconsin,Loganville,Highway 23,1,0,N/A
8/6/2017,Missouri,Kansas City,9600 block of Lydia Avenue,1,0,N/A
8/5/2017,Indiana,Crown Point,7700 block of East 120th Avenue,1,0,N/A
8/4/2017,Mississippi,Gulfport,3600 block of Sabine Street,1,0,N/A
8/1/2017,Nevada,Las Vegas,9500 block of Chandler Springs Ave,1,0,N/A
8/1/2017,Montana,Helena,246 Hope Road,1,0,N/A
7/31/2017,Kentucky,Louisville,6509 Huff Lane,1,0,N/A
