Date,State,City_County,Address,Killed,Injured,Operations
12/31/2017,Mississippi,Cleveland,N/A,1,0,N/A
12/30/2017,Texas,Hillsboro,1000 block of E Walnut St,1,0,N/A
12/26/2017,Illinois,Wilmington,1800 S Water St,1,0,N/A
12/22/2017,New York,Guilford,CR 35,1,0,N/A
12/21/2017,South Carolina,Inman,Stevens Ct,1,0,N/A
12/19/2017,Arizona,Glendale,Beardsley Rd and 67th Ave,1,0,N/A
12/17/2017,Texas,Deer Park,1500 block of Wilson,1,0,N/A
12/15/2017,Alabama,Odenville,900 block of Maple Trace,1,0,N/A
12/13/2017,Ohio,Newcomerstown,16978 Horseshoe Bend East Rd SE,1,0,N/A
12/10/2017,Utah,Roosevelt (Ballard),N/A,1,0,N/A
12/9/2017,Alabama,Anniston,Paul St,1,0,N/A
12/5/2017,Tennessee,Lawrenceburg,1015 Smith Ave,1,0,N/A
12/4/2017,New Mexico,Albuquerque,5000 block of Azuelo Ave NW,1,0,N/A
11/30/2017,Arizona,Phoenix,Thomas Rd and 67th Ave,1,0,N/A
11/26/2017,Nevada,West Wendover,800 Ash St,1,0,N/A
11/25/2017,Tennessee,Memphis (Hickory Hill),5900 block of Hickory Trace Cove,1,0,N/A
11/24/2017,Texas,Bulverde,N/A,1,0,N/A
11/16/2017,Colorado,Saguache,CO 788,1,0,N/A
11/13/2017,North Carolina,Lillington,2091 N.C. Highway 27,1,0,N/A
11/13/2017,Alabama,Adger,Valley Ford Rd and Buford Rd,1,0,N/A
11/12/2017,Tennessee,Dresden,Evergreen Street,1,0,N/A
11/11/2017,Minnesota,Aurora,5800 block of Stepetz Road 53,1,0,N/A
11/8/2017,Texas,Kountze,2600 block of FM 418,1,0,N/A
11/4/2017,New Hampshire,Exeter (Brentwood),Pine Rd,1,0,N/A
11/2/2017,Connecticut,Wethersfield,26-28 Alison Ln,1,0,N/A
11/2/2017,Virginia,Williamsburg,1700 block of Skiffes Creek Circle,1,0,N/A
10/31/2017,Mississippi,Columbus,Poplar St,1,0,N/A
10/31/2017,Georgia,Atlanta,300 Block of Fairburn Rd,1,0,N/A
10/29/2017,Illinois,Chicago,6600 S Marquette Rd,1,0,N/A
10/28/2017,Texas,Fort Worth,5400 block of Wilson Rd,1,0,N/A
10/26/2017,Georgia,Forest Park,Boca Grande Boulevard,1,0,N/A
10/26/2017,Arkansas,Altheimer,700 block of Short Front St,1,0,N/A
10/23/2017,Alabama,Cullman,Fox Meadow Trail,1,0,N/A
10/21/2017,Oklahoma,Tulsa,2600 block of 28th St,1,0,N/A
10/14/2017,Washington,Kelso,1500 block of Carroll Rd,1,0,N/A
10/11/2017,Kentucky,Somerset,KY-1003,1,0,N/A
10/7/2017,Missouri,Saint Louis (University City),6600 block of Bartmer Ave,1,0,N/A
10/7/2017,Kentucky,Hopkinsville,Beaumont Ct,1,0,N/A
10/7/2017,Utah,Santaquin,N/A,1,0,N/A
10/3/2017,Texas,Dallas,Whitehurst Dr and Skillman St,1,0,N/A
10/1/2017,Indiana,Indianapolis,1800 block of N Routiers Ave,1,0,N/A
9/30/2017,Mississippi,Horn Lake,Longwood Cove,1,1,N/A
9/30/2017,Georgia,Augusta,2400 Block of Amsterdam Dr,1,0,N/A
9/26/2017,Texas,Garland,3700 block of Burning Tree Ln,1,0,N/A
9/24/2017,New York,Yonkers,201 Warburton Ave,1,0,N/A
9/22/2017,Kentucky,Franklin,303 Pepper St,1,0,N/A
9/19/2017,Texas,Manvel,5000 block of CR 48,1,0,N/A
9/17/2017,Ohio,Fremont,300 block of Jackson St,1,0,N/A
9/14/2017,Florida,Jacksonville,4600 block of Ricker Road,1,0,N/A
9/2/2017,Tennessee,Springfield,10th Ave,1,0,N/A
8/28/2017,Florida,Pinellas Park,6500 87th Ave N,1,0,N/A
8/27/2017,Georgia,Marietta,790 Wilson Circle,1,0,N/A
8/17/2017,North Carolina,Winston Salem (Winston-salem),4365 Wakeman Dr,1,0,N/A
8/15/2017,Washington,Spokane,N Washington St and W Spokane Falls Blvd,1,0,N/A
8/15/2017,Arizona,Queen Creek,N/A,1,0,N/A
8/14/2017,Alabama,Birmingham,4100 Messer Airport Hwy,1,0,N/A
8/12/2017,Missouri,Festus,1900 block of Iditarod Trail,1,0,N/A
8/9/2017,Oklahoma,Tulsa,5000 block of S Hudson,1,0,N/A
8/8/2017,Wisconsin,Loganville,Highway 23,1,0,N/A
8/7/2017,Texas,Wichita Falls,1509 Trigg Ln,1,0,N/A
8/4/2017,Texas,San Antonio,6200 block of Big Valley Dr,1,0,N/A
8/4/2017,Mississippi,Gulfport,3600 block of Sabine Street,1,0,N/A
8/2/2017,New York,Glen Cove,Williams St,1,0,N/A
7/26/2017,Wisconsin,Waupaca,E410 Rieben Rd,1,0,N/A
7/26/2017,California,Oakland,2300 block of Fruitvale Ave,1,0,N/A
7/23/2017,Missouri,Saint Louis,1400 block of Kealty Ln,1,0,N/A
7/20/2017,Texas,Humble (Atascocita),19900 block of River Brook Dr,1,0,N/A
7/19/2017,Georgia,Athens,Hollow Ridge Drive,1,0,N/A
7/18/2017,Arizona,Mesa,600 block of E Kino Dr,1,0,N/A
7/17/2017,Idaho,Troy,Nora Creek Rd,1,0,N/A
7/14/2017,Louisiana,Westwego (Bridge City),9200 block of E Claiborne Pkwy,1,0,N/A
7/13/2017,Mississippi,Columbus,Florence St,1,0,N/A
7/8/2017,Tennessee,Greeneville,573 Warrensburg Road,1,0,N/A
7/8/2017,Illinois,Des Plaines,9900 block of Linda Ln,1,0,N/A
7/6/2017,Louisiana,Harvey,2400 block of Alex Kornman Blvd,1,0,N/A
7/4/2017,Texas,San Antonio,3134 Mission Gate,1,0,N/A
7/1/2017,Indiana,Hammond,7300 block of Harrison Avenue,1,0,N/A
6/30/2017,Georgia,Jenkins (county),N/A,1,0,N/A
6/26/2017,Alabama,Montgomery,1714 Coral Ln,1,1,N/A
6/24/2017,Missouri,Saint Louis,10000 block of Toelle Ln,1,0,N/A
6/24/2017,Tennessee,Nashville,Hurst Dr,1,1,N/A
6/22/2017,Florida,Bradenton,300 block of 12th Ave W,1,0,N/A
6/19/2017,Ohio,Barberton,Pasadena Pl,1,0,N/A
6/19/2017,Georgia,Macon,152 Bradstone Circle,1,0,N/A
6/17/2017,Oklahoma,Tulsa,5400 block of North Hartford,1,2,N/A
6/16/2017,Georgia,Dallas,Double Branches Lane,1,0,N/A
6/14/2017,Oklahoma,Tulsa,1000 Block of E 51st Pl N,1,0,N/A
6/12/2017,Texas,Dayton,CR 2342,1,0,N/A
6/10/2017,South Dakota,Tripp (county),N/A,1,0,N/A
6/8/2017,California,Antioch,4300 Block of Palomar Dr,1,0,N/A
6/8/2017,Louisiana,Farmerville (Rocky Branch),N/A,1,0,N/A
6/7/2017,Virginia,Chesterfield,Welch Dr and Old Creek Rd,1,0,N/A
6/1/2017,Missouri,Saint Louis,2500 block of Hodiamont Ave,1,0,N/A
6/1/2017,Texas,Houston,13800 block of Northlake Dr,1,0,N/A
5/31/2017,Kansas,Topeka,715 SW 16th Ave,1,0,N/A
5/30/2017,Oklahoma,Chickasha,1214 W Chickasha Ave,1,0,N/A
5/26/2017,Louisiana,New Orleans,3400 block of Esplanade Avenue,1,0,N/A
5/24/2017,Illinois,Springfield,200 block of East Scarritt Street,1,0,N/A
5/24/2017,South Carolina,Sumter,Miller Road,1,0,N/A
5/21/2017,Wisconsin,Ontario,Pisgah Road,1,0,N/A
5/20/2017,Kentucky,Campbellsville,Busy Baker Road,1,0,N/A
5/20/2017,Illinois,Des Plaines,2106 David Drive,1,0,N/A
5/12/2017,Texas,Big Spring,1601 W 11th Place,1,0,N/A
5/8/2017,Louisiana,Eunice,E Dean St,1,0,N/A
5/5/2017,Louisiana,Baton Rouge,11320 Greenwell Springs Rd,1,0,N/A
5/1/2017,Michigan,Muskegon,1751 Evanston Ave,1,0,N/A
4/30/2017,Alabama,Leeds,4100 block of Oak Trail Way,1,0,N/A
4/30/2017,Florida,Jacksonville,Willow Branch Avenue,1,0,N/A
4/25/2017,Pennsylvania,Mckeesport,1300 Block of Ridge St,1,0,N/A
4/25/2017,Florida,Homestead (Florida City),421 NW 167th St,1,0,N/A
4/21/2017,Ohio,Akron,600 block of Fulmer Ave,1,0,N/A
4/19/2017,Texas,Freeport,1200 W 8th St,1,0,N/A
4/12/2017,California,Oakland,800 block of E 18th St,1,0,N/A
4/10/2017,Florida,Orlando,Ziegler Rd,1,0,N/A
4/10/2017,Georgia,Forest Park,5539 Pineridge Ct,1,0,N/A
4/9/2017,Tennessee,Chattanooga,2516 E 21st St,1,0,N/A
